Date ,OD ,Trt,Conc,of milligram,Rep,Solvent,Day,Age,Culture,Medium Batch,OD Hrs,Strain,Comments 
9/30/17,1.81,Control,0,1,1,LB,1,1,1,1,,,
9/30/17,1.79,Control,0,1,2,LB,1,1,1,1,,,
9/30/17,1.79,Control,0,1,3,LB,1,1,1,1,,,
9/30/17,1.7,Control,0,1,4,LB,1,1,1,1,,,
9/30/17,1.83,Control,0,1,5,LB,1,1,1,1,,,
9/30/17,0.5,Amp,1.49,0.001,1,Water,1,1,1,1,,,
9/30/17,0.69,Amp,1.49,0.001,2,Water,1,1,1,1,,,
9/30/17,0.61,Amp,1.49,0.001,3,Water,1,1,1,1,,,
9/30/17,0.58,Amp,1.49,0.001,4,Water,1,1,1,1,,,
9/30/17,0.58,Amp,1.49,0.001,5,Water,1,1,1,1,,,
9/30/17,1.07,Manuka,80,1,1,LB,1,1,1,1,,,
9/30/17,1.08,Manuka,80,1,2,LB,1,1,1,1,,,
9/30/17,1.18,Manuka,80,1,3,LB,1,1,1,1,,,
9/30/17,1.18,Manuka,80,1,4,LB,1,1,1,1,,,
9/30/17,1.17,Manuka,80,1,5,LB,1,1,1,1,,,
9/30/17,0.86,Local,260,1,1,LB,1,1,1,1,,,
9/30/17,0.79,Local,260,1,2,LB,1,1,1,1,,,
9/30/17,0.86,Local,260,1,3,LB,1,1,1,1,,,
9/30/17,0.88,Local,260,1,4,LB,1,1,1,1,,,
9/30/17,0.85,Local,260,1,5,LB,1,1,1,1,,,
10/1/17,1.72,Control,0,1,1,LB,2,2,2,1,,,
10/1/17,1.79,Control,0,1,2,LB,2,2,2,1,,,
10/1/17,1.72,Control,0,1,3,LB,2,2,2,1,,,
10/1/17,0.95,Amp,1.49,0.001,1,Water,2,2,2,1,,,
10/1/17,0.93,Amp,1.49,0.001,2,Water,2,2,2,1,,,
10/1/17,0.84,Amp,1.49,0.001,3,Water,2,2,2,1,,,
10/1/17,0.93,Amp,1.49,0.001,4,Water,2,2,2,1,,,
10/1/17,0.9,Amp,1.49,0.001,5,Water,2,2,2,1,,,
10/1/17,0,Manuka,80,1,1,LB,2,2,2,1,,,
10/1/17,0,Manuka,80,1,2,LB,2,2,2,1,,,
10/1/17,0,Manuka,80,1,3,LB,2,2,2,1,,,
10/1/17,0,Manuka,80,1,4,LB,2,2,2,1,,,
10/1/17,0,Manuka,80,1,5,LB,2,2,2,1,,,
10/1/17,0,Local,260,1,1,LB,2,2,2,1,,,
10/1/17,0,Local,260,1,2,LB,2,2,2,1,,,
10/1/17,0,Local,260,1,3,LB,2,2,2,1,,,
10/1/17,0,Local,260,1,4,LB,2,2,2,1,,,
10/1/17,0.74,Local,260,1,5,LB,2,2,2,1,,,
10/1/17,1.28,Glu,6,1,1,LB,2,1,1,1,,,
10/1/17,0.93,Glu,6,1,2,LB,2,1,1,1,,,
10/1/17,1.02,Glu,6,1,3,LB,2,1,1,1,,,
10/1/17,0.79,Glu,16,1,1,LB,2,1,1,1,,,
10/1/17,0.88,Glu,16,1,2,LB,2,1,1,1,,,
10/1/17,0.79,Glu,16,1,3,LB,2,1,1,1,,,
10/2/17,1.81,Control,0,1,1,LB,3,3,3,1,,,
10/2/17,1.92,Control,0,1,2,LB,3,3,3,1,,,
10/2/17,1.69,Control,0,1,3,LB,3,3,3,1,,,
10/2/17,0.99,Amp,1.49,0.001,1,Water,3,3,3,1,,,
10/2/17,0.82,Amp,1.49,0.001,2,Water,3,3,3,1,,,
10/2/17,0.82,Amp,1.49,0.001,3,Water,3,3,3,1,,,
10/2/17,0.69,Amp,1.49,0.001,4,Water,3,3,3,1,,,
10/2/17,0.86,Amp,1.49,0.001,5,Water,3,3,3,1,,,
10/2/17,0.92,Manuka,80,1,1,LB,3,1,1,1,,,
10/2/17,1.01,Manuka,80,1,2,LB,3,1,1,1,,,
10/2/17,0.89,Manuka,80,1,3,LB,3,1,1,1,,,
10/2/17,0.83,Manuka,80,1,4,LB,3,1,1,1,,,
10/2/17,0.96,Manuka,80,1,5,LB,3,1,1,1,,,
10/2/17,0,Local,260,1,1,LB,3,3,3,1,,,
10/2/17,0,Local,260,1,2,LB,3,3,3,1,,,
10/2/17,0,Local,260,1,3,LB,3,3,3,1,,,
10/2/17,0,Local,260,1,4,LB,3,3,3,1,,,
10/2/17,0,Local,260,1,5,LB,3,3,3,1,,,
10/2/17,1.31,Glu,6,1,1,LB,3,2,2,1,,,
10/2/17,1.05,Glu,6,1,2,LB,3,2,2,1,,,
10/2/17,1.26,Glu,6,1,3,LB,3,2,2,1,,,
10/2/17,0.92,Glu,16,1,1,LB,3,2,2,1,,,
10/2/17,0.83,Glu,16,1,2,LB,3,2,2,1,,,
10/2/17,0.82,Glu,16,1,3,LB,3,2,2,1,,,
10/3/17,1.8,Control,0,1,1,LB,4,4,4,1,,,
10/3/17,1.87,Control,0,1,2,LB,4,4,4,1,,,
10/3/17,1.93,Control,0,1,3,LB,4,4,4,1,,,
10/3/17,1.25,Amp,1.49,0.001,1,Water,4,4,4,1,,,
10/3/17,1.2,Amp,1.49,0.001,2,Water,4,4,4,1,,,
10/3/17,1.2,Amp,1.49,0.001,3,Water,4,4,4,1,,,
10/3/17,1.17,Amp,1.49,0.001,4,Water,4,4,4,1,,,
10/3/17,1.22,Amp,1.49,0.001,5,Water,4,4,4,1,,,
10/3/17,0,Manuka,80,1,1,LB,4,2,2,1,,,
10/3/17,0,Manuka,80,1,2,LB,4,2,2,1,,,
10/3/17,0,Manuka,80,1,3,LB,4,2,2,1,,,
10/3/17,0,Manuka,80,1,4,LB,4,2,2,1,,,
10/3/17,0,Manuka,80,1,5,LB,4,2,2,1,,,
