"Date","OD","Trt","Conc","of.milligram","Rep","Solvent","Day","Age","Culture","Medium.Batch","OD.Hrs","Strain","Comments","StrCon"
"9/30/17",1.81,"Control",0,1,1,"LB",1,1,1,1,24,"Control","","Control"
"9/30/17",1.79,"Control",0,1,2,"LB",1,1,1,1,24,"Control","","Control"
"9/30/17",1.79,"Control",0,1,3,"LB",1,1,1,1,24,"Control","","Control"
"9/30/17",1.7,"Control",0,1,4,"LB",1,1,1,1,24,"Control","","Control"
"9/30/17",1.83,"Control",0,1,5,"LB",1,1,1,1,24,"Control","","Control"
"9/30/17",1.07,"Manuka",80,1,1,"LB",1,1,1,1,24,"Manuka80","","Manuka80"
"9/30/17",1.08,"Manuka",80,1,2,"LB",1,1,1,1,24,"Manuka80","","Manuka80"
"9/30/17",1.18,"Manuka",80,1,3,"LB",1,1,1,1,24,"Manuka80","","Manuka80"
"9/30/17",1.18,"Manuka",80,1,4,"LB",1,1,1,1,24,"Manuka80","","Manuka80"
"9/30/17",1.17,"Manuka",80,1,5,"LB",1,1,1,1,24,"Manuka80","","Manuka80"
"9/30/17",0.86,"Local",260,1,1,"LB",1,1,1,1,24,"Local260","","Local260"
"9/30/17",0.79,"Local",260,1,2,"LB",1,1,1,1,24,"Local260","","Local260"
"9/30/17",0.86,"Local",260,1,3,"LB",1,1,1,1,24,"Local260","","Local260"
"9/30/17",0.88,"Local",260,1,4,"LB",1,1,1,1,24,"Local260","","Local260"
"9/30/17",0.85,"Local",260,1,5,"LB",1,1,1,1,24,"Local260","","Local260"
"10/1/17",1.28,"Glu",6,1,1,"LB",2,1,1,1,24,"Glu6","","Glu6"
"10/1/17",0.93,"Glu",6,1,2,"LB",2,1,1,1,24,"Glu6","","Glu6"
"10/1/17",1.02,"Glu",6,1,3,"LB",2,1,1,1,24,"Glu6","","Glu6"
"10/1/17",0.79,"Glu",16,1,1,"LB",2,1,1,1,24,"Glu16","","Glu16"
"10/1/17",0.88,"Glu",16,1,2,"LB",2,1,1,1,24,"Glu16","","Glu16"
"10/1/17",0.79,"Glu",16,1,3,"LB",2,1,1,1,24,"Glu16","","Glu16"
